TARGETID,GENENAME,,,Disease Entry, [ICD-11]
T46185,CHRM2,INDICATI,Approved,Peptic ulcer,[ICD-11: DA61]
T46185,CHRM2,INDICATI,Approved,Respiratory system disease,[ICD-11: CB40-CB7Z]
T46185,CHRM2,INDICATI,Approved,Sebaceous gland disorder,[ICD-11: ED91]
,#N/A,,,,
T46208,PMEL,TARGETID,T46208,,
T46208,PMEL,TARGNAME,Gp100[209-217] peptide (PMEL),,
T46208,PMEL,INDICATI,Phase 1,Melanoma,[ICD-11: 2C30]
,#N/A,,,,
T46216,BRD9,TARGETID,T46216,,
T46216,BRD9,TARGNAME,Bromodomain-containing protein 9 (BRD9),,
T46216,BRD9,INDICATI,Investigative,Acute myeloid leukaemia,[ICD-11: 2A60]
,#N/A,,,,
T46245,QPCT,TARGETID,T46245,,
T46245,QPCT,TARGNAME,Glutaminyl cyclase (QPCT),,
T46245,QPCT,INDICATI,Phase 2,Dementia,[ICD-11: 6D80-6D8Z]
,#N/A,,,,
T46263,SLC3A2,TARGETID,T46263,,
T46263,SLC3A2,TARGNAME,Lymphocyte activation antigen 4F2 (SLC3A2),,
T46263,SLC3A2,INDICATI,Phase 1,Acute myeloid leukaemia,[ICD-11: 2A60]
,#N/A,,,,
T46360,SIGMAR1,TARGETID,T46360,,
T46360,SIGMAR1,TARGNAME,Opioid receptor sigma 1 (OPRS1),,
T46360,SIGMAR1,INDICATI,Terminated,Abnormal micturition,[ICD-11: MF50]
T46360,SIGMAR1,INDICATI,Phase 3,Alzheimer disease,[ICD-11: 8A20]
T46360,SIGMAR1,INDICATI,Terminated,Anxiety disorder,[ICD-11: 6B00-6B0Z]
T46360,SIGMAR1,INDICATI,Phase 2,Bulimia nervosa,[ICD-11: 6B81]
T46360,SIGMAR1,INDICATI,Withdrawn from market,Cataract,[ICD-11: 9B10]
T46360,SIGMAR1,INDICATI,Phase 1,Central nervous system disease,[ICD-11: 8A04-8D87]
T46360,SIGMAR1,INDICATI,Phase 1,Chronic obstructive pulmonary disease,[ICD-11: CA22]
T46360,SIGMAR1,INDICATI,Approved,Cough,[ICD-11: MD12]
T46360,SIGMAR1,INDICATI,Phase 1,Cystic fibrosis,[ICD-11: CA25]
T46360,SIGMAR1,INDICATI,Phase 2,Depression,[ICD-11: 6A70-6A7Z]
T46360,SIGMAR1,INDICATI,Terminated,Dermal/subcutaneous connective tissue atrophy/degeneration,[ICD-11: EE40]
T46360,SIGMAR1,INDICATI,Phase 1,Epileptic encephalopathy,[ICD-11: 8A62]
T46360,SIGMAR1,INDICATI,Phase 1,Frontotemporal dementia,ICD-11: 6D83
T46360,SIGMAR1,INDICATI,Phase 1,Immune system disease,[ICD-11: 4A01-4B41]
T46360,SIGMAR1,INDICATI,Phase 1,Intellectual development disorder,[ICD-11: LD90]
T46360,SIGMAR1,INDICATI,Investigative,Intracranial injury,[ICD-11: NA07]
T46360,SIGMAR1,INDICATI,Preclinical,Melanoma,[ICD-11: 2C30]
T46360,SIGMAR1,INDICATI,Phase 1,Mild neurocognitive disorder,[ICD-11: 6D71]
T46360,SIGMAR1,INDICATI,Phase 3,Mood disorder,[ICD-11: 6A60-6E23]
T46360,SIGMAR1,INDICATI,Phase 2,Neurobehavioral disorder,[ICD-11: 8A00-8A0Z]
T46360,SIGMAR1,INDICATI,Phase 1,Pain,[ICD-11: MG30-MG3Z]
T46360,SIGMAR1,INDICATI,Preclinical,Pancreatic cancer,[ICD-11: 2C10]
T46360,SIGMAR1,INDICATI,Phase 1,Parkinsonism,[ICD-11: 8A00]
T46360,SIGMAR1,INDICATI,Discontinued in Phase 2,Peptic ulcer,[ICD-11: DA61]
T46360,SIGMAR1,INDICATI,Preclinical,Prostate cancer,[ICD-11: 2C82]
T46360,SIGMAR1,INDICATI,Investigative,Psychoactive substances use disorder,[ICD-11: 6C4G]
T46360,SIGMAR1,INDICATI,Discontinued in Phase 3,Psychotic disorder,[ICD-11: 6A20-6A25]
T46360,SIGMAR1,INDICATI,Phase 3,Schizophrenia,[ICD-11: 6A20]
T46360,SIGMAR1,INDICATI,Phase 1,Sexual dysfunction,[ICD-11: HA00-HA01]
T46360,SIGMAR1,INDICATI,Phase 2,Somnolence,[ICD-11: MG42]
,#N/A,,,,
T46365,CDC25B,TARGETID,T46365,,
T46365,CDC25B,TARGNAME,M-phase inducer phosphatase 2 (MPIP2),,
T46365,CDC25B,INDICATI,Phase 3,Lung cancer,[ICD-11: 2C25]
T46365,CDC25B,INDICATI,Investigative,Nasopharyngeal cancer,[ICD-11: 2B6B]
T46365,CDC25B,INDICATI,Terminated,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T46456,RXRG,TARGETID,T46456,,
T46456,RXRG,TARGNAME,Retinoic acid receptor RXR-gamma (RXRG),,
T46456,RXRG,INDICATI,Phase 2,Acute diabete complication,[ICD-11: 5A2Y]
T46456,RXRG,INDICATI,Phase 1,Breast cancer,[ICD-11: 2C60-2C6Y]
T46456,RXRG,INDICATI,Approved,Kaposi sarcoma,[ICD-11: 2B57]
T46456,RXRG,INDICATI,Investigative,Kinetoplastids,[ICD-11: 1F61-1G2Z]
T46456,RXRG,INDICATI,Approved,Light sensitivity impairment,[ICD-11: 9D45]
T46456,RXRG,INDICATI,Phase 1,Lung cancer,[ICD-11: 2C25]
T46456,RXRG,INDICATI,Phase 1,Pancreatic cancer,[ICD-11: 2C10]
T46456,RXRG,INDICATI,Phase 1,Prostate cancer,[ICD-11: 2C82]
T46456,RXRG,INDICATI,Phase 1,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T46465,Malaria PLA2,TARGETID,T46465,,
T46465,Malaria PLA2,TARGNAME,Plasmodium Plasmepsin 2 (Malaria PLA2),,
T46465,Malaria PLA2,INDICATI,Terminated,Malaria,[ICD-11: 1F40-1F45]
,#N/A,,,,
T46482,TLR7,TARGETID,T46482,,
T46482,TLR7,TARGNAME,Toll-like receptor 7 (TLR7),,
T46482,TLR7,INDICATI,Phase 2,Asthma,[ICD-11: CA23]
T46482,TLR7,INDICATI,Phase 1,Autoimmune disease,[ICD-11: 4A40-4A45]
T46482,TLR7,INDICATI,Investigative,Bladder cancer,[ICD-11: 2C94]
T46482,TLR7,INDICATI,Phase 1,Diabetes mellitus,[ICD-11: 5A10]
T46482,TLR7,INDICATI,Discontinued in Phase 1/2,Diffuse large B-cell lymphoma,[ICD-11: 2A81]
T46482,TLR7,INDICATI,Phase 2,Epidermal dysplasias,[ICD-11: EK90]
T46482,TLR7,INDICATI,Phase 2a,Hepatitis virus infection,[ICD-11: 1E50-1E51]
T46482,TLR7,INDICATI,Phase 1/2,Herpes simplex infection,[ICD-11: 1F00]
T46482,TLR7,INDICATI,Phase 1,Human immunodeficiency virus disease,[ICD-11: 1C60-1C62]
T46482,TLR7,INDICATI,Phase 2,Immune system disease,[ICD-11: 4A01-4B41]
T46482,TLR7,INDICATI,Phase 1,Liver cancer,[ICD-11: 2C12]
T46482,TLR7,INDICATI,Phase 1/2,Lung cancer,[ICD-11: 2C25]
T46482,TLR7,INDICATI,Phase 2,Lupus erythematosus,[ICD-11: 4A40]
T46482,TLR7,INDICATI,Approved,Malaria,[ICD-11: 1F40-1F45]
T46482,TLR7,INDICATI,Phase 2,Melanoma,[ICD-11: 2C30]
T46482,TLR7,INDICATI,Phase 2,Mycosis fungoides,[ICD-11: 2B01]
T46482,TLR7,INDICATI,Phase 2,Psoriasis,[ICD-11: EA90]
T46482,TLR7,INDICATI,Approved,Skin cancer,[ICD-11: 2C30-2C37]
T46482,TLR7,INDICATI,Phase 1/2,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
T46482,TLR7,INDICATI,Phase 1,Squamous cell carcinoma,[ICD-11: 2B60-2D01]
T46482,TLR7,INDICATI,Phase 2,Vasomotor/allergic rhinitis,[ICD-11: CA08]
,#N/A,,,,
T46521,AR,TARGETID,T46521,,
T46521,AR,TARGNAME,Androgen receptor messenger RNA (AR mRNA),,
T46521,AR,INDICATI,Discontinued in Phase 1,Acne vulgaris,[ICD-11: ED80]
T46521,AR,INDICATI,Phase 2,Breast cancer,[ICD-11: 2C60-2C6Y]
T46521,AR,INDICATI,Phase 1/2,Prostate cancer,[ICD-11: 2C82]
T46521,AR,INDICATI,Phase 4,Prostate hyperplasia,[ICD-11: GA90]
T46521,AR,INDICATI,Investigative,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T46524,TNFSF12,TARGETID,T46524,,
T46524,TNFSF12,TARGNAME,TNF-related weak inducer of apoptosis (TWEAK),,
T46524,TNFSF12,INDICATI,Phase 2,Rheumatoid arthritis,[ICD-11: FA20]
T46524,TNFSF12,INDICATI,Phase 1,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T46526,Bact FimH,TARGETID,T46526,,
T46526,Bact FimH,TARGNAME,Bacterial Fimbrin D-mannose adhesin (Bact FimH),,
T46526,Bact FimH,INDICATI,Phase 2,Crohn disease,[ICD-11: DD70]
T46526,Bact FimH,INDICATI,Patented,Ulcerative colitis,[ICD-11: DD71]
T46526,Bact FimH,INDICATI,Phase 1,Urinary tract infection,[ICD-11: GC08]
,#N/A,,,,
T46616,Bact botA,TARGETID,T46616,,
T46616,Bact botA,TARGNAME,Bacterial Botulinum toxin A (Bact botA),,
T46616,Bact botA,INDICATI,Phase 2,Acne vulgaris,[ICD-11: ED80]
T46616,Bact botA,INDICATI,Phase 1/2,Ataxic disorder,[ICD-11: 8A03]
T46616,Bact botA,INDICATI,Phase 1,Clostridium difficile enterocolitis,[ICD-11: 1A04]
,#N/A,,,,
T46628,MTTP,TARGETID,T46628,,
T46628,MTTP,TARGNAME,Microsomal triglyceride transfer protein (MTTP),,
T46628,MTTP,INDICATI,Phase 2,Acute diabete complication,[ICD-11: 5A2Y]
T46628,MTTP,INDICATI,Discontinued in Phase 1,Arterial occlusive disease,[ICD-11: BD40]
T46628,MTTP,INDICATI,Phase 2,Dyslipidemia,[ICD-11: 5C80-5C81]
T46628,MTTP,INDICATI,Approved,Hyper-lipoproteinaemia,[ICD-11: 5C80]
T46628,MTTP,INDICATI,Phase 2,Type 2 diabetes mellitus,[ICD-11: 5A11]
T46628,MTTP,INDICATI,Phase 1/2,Urinary system disease,[ICD-11: GC2Z]
,#N/A,,,,
T46642,ALOX5AP,TARGETID,T46642,,
T46642,ALOX5AP,TARGNAME,Arachidonate 5-lipoxygenase activating protein (FLAP),,
T46642,ALOX5AP,INDICATI,Terminated,Allergic/hypersensitivity disorder,[ICD-11: 4A80-4A8Z]
T46642,ALOX5AP,INDICATI,Discontinued in Phase 3,Asthma,[ICD-11: CA23]
T46642,ALOX5AP,INDICATI,Discontinued in Phase 2,Cardiovascular disease,[ICD-11: BA00-BE2Z]
T46642,ALOX5AP,INDICATI,Discontinued in Phase 1,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T46658,#N/A,TARGETID,T46658,,
T46658,#N/A,TARGNAME,Eosinophil/lymphocyte-rich accumulation (ELR accum),,
T46658,#N/A,INDICATI,Phase 2,Asthma,[ICD-11: CA23]
,#N/A,,,,
T46781,AURKB,TARGETID,T46781,,
T46781,AURKB,TARGNAME,Aurora kinase B (AURKB),,
T46781,AURKB,INDICATI,Phase 3,Acute diabete complication,[ICD-11: 5A2Y]
T46781,AURKB,INDICATI,Phase 1,Acute myeloid leukaemia,[ICD-11: 2A60]
T46781,AURKB,INDICATI,Phase 2,Malignant haematopoietic neoplasm,[ICD-11: 2B33]
T46781,AURKB,INDICATI,Investigative,Oral cavity/oesophagus/stomach in situ carcinoma,[ICD-11: 2E60]
T46781,AURKB,INDICATI,Phase 2,Prostate cancer,[ICD-11: 2C82]
T46781,AURKB,INDICATI,Phase 3,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T46789,SIRPA,TARGETID,T46789,,
T46789,SIRPA,TARGNAME,Inhibitory receptor SHPS-1 (SIRPA),,
T46789,SIRPA,INDICATI,Phase 1,Malignant haematopoietic neoplasm,[ICD-11: 2B33]
T46789,SIRPA,INDICATI,Phase 1,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T46828,DRD5,TARGETID,T46828,,
T46828,DRD5,TARGNAME,Dopamine D5 receptor (D5R),,
T46828,DRD5,INDICATI,Approved,Allergic/hypersensitivity disorder,[ICD-11: 4A80-4A8Z]
T46828,DRD5,INDICATI,Preclinical,Schizophrenia,[ICD-11: 6A20]
,#N/A,,,,
T46871,INPP5D,TARGETID,T46871,,
T46871,INPP5D,TARGNAME,SH2 domain inositol 5'-phosphatase 1 (INPP5D),,
T46871,INPP5D,INDICATI,Phase 2,Chronic obstructive pulmonary disease,[ICD-11: CA22]
,#N/A,,,,
T46904,SCT,TARGETID,T46904,,
T46904,SCT,TARGNAME,Secretin receptor (SCT),,
T46904,SCT,INDICATI,Approved,Pancreas disease,[ICD-11: DC35-DC3Z]
T46904,SCT,INDICATI,Approved,Pancreatic cancer,[ICD-11: 2C10]
,#N/A,,,,
T46937,P2RY12,TARGETID,T46937,,
T46937,P2RY12,TARGNAME,P2Y purinoceptor 12 (P2RY12),,
T46937,P2RY12,INDICATI,Phase 3,Arterial thrombosis,[ICD-11: DB61-DD30]
T46937,P2RY12,INDICATI,Phase 2,Cardiovascular disease,[ICD-11: BA00-BE2Z]
T46937,P2RY12,INDICATI,Approved,Myocardial infarction,[ICD-11: BA41-BA43]
T46937,P2RY12,INDICATI,Approved,Thrombosis,[ICD-11: DB61-GB90]
,#N/A,,,,
T47077,#N/A,TARGETID,T47077,,
T47077,#N/A,TARGNAME,Prostaglandin receptor (PTGR),,
T47077,#N/A,INDICATI,Discontinued in Phase 2,Acute diabete complication,[ICD-11: 5A2Y]
T47077,#N/A,INDICATI,Approved,Alopecia,[ICD-11: ED70]
T47077,#N/A,INDICATI,Phase 3,Bacterial infection,[ICD-11: 1A00-1C4Z]
T47077,#N/A,INDICATI,Approved,Glaucoma,[ICD-11: 9C61]
T47077,#N/A,INDICATI,Discontinued in Phase 2,Pain,[ICD-11: MG30-MG3Z]
T47077,#N/A,INDICATI,Phase 2,Pneumonia,[ICD-11: CA40]
T47077,#N/A,INDICATI,Terminated,Psoriasis,[ICD-11: EA90]
T47077,#N/A,INDICATI,Discontinued in Phase 2,Sarcoidosis,[ICD-11: 4B20]
T47077,#N/A,INDICATI,Investigative,Sexual dysfunction,[ICD-11: HA00-HA01]
T47077,#N/A,INDICATI,Phase 2,Skin and skin-structure infection,[ICD-11: 1F28-1G0Z]
T47077,#N/A,INDICATI,Terminated,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
T47077,#N/A,INDICATI,Discontinued in Phase 3,Thrombosis,[ICD-11: DB61-GB90]
,#N/A,,,,
T47081,PPIA,TARGETID,T47081,,
T47081,PPIA,TARGNAME,Rotamase A (PPIA),,
T47081,PPIA,INDICATI,Approved,Nutritional deficiency,[ICD-11: 5B50-5B71]
,#N/A,,,,
T47087,HPV E1 mRNA,TARGETID,T47087,,
T47087,HPV E1 mRNA,TARGNAME,Human papillomavirus E1 region messenger RNA (HPV E1 mRNA),,
T47087,HPV E1 mRNA,INDICATI,Discontinued in Phase 1,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T47094,TACR1,TARGETID,T47094,,
T47094,TACR1,TARGNAME,Substance-P receptor (TACR1),,
T47094,TACR1,INDICATI,Phase 2,Abnormal micturition,[ICD-11: MF50]
T47094,TACR1,INDICATI,Phase 1,Acute diabete complication,[ICD-11: 5A2Y]
T47094,TACR1,INDICATI,Terminated,Acute upper respiratory infection,[ICD-11: CA07]
T47094,TACR1,INDICATI,Phase 2,Anxiety disorder,[ICD-11: 6B00-6B0Z]
T47094,TACR1,INDICATI,Discontinued in Phase 2,Asthma,[ICD-11: CA23]
T47094,TACR1,INDICATI,Phase 3,Atopic eczema,[ICD-11: EA80]
T47094,TACR1,INDICATI,Discontinued in Phase 2,Chronic obstructive pulmonary disease,[ICD-11: CA22]
T47094,TACR1,INDICATI,Investigative,Chronic pain,[ICD-11: MG30]
T47094,TACR1,INDICATI,Phase 2,Cough,[ICD-11: MD12]
T47094,TACR1,INDICATI,Approved,Depression,[ICD-11: 6A70-6A7Z]
T47094,TACR1,INDICATI,Phase 1,Eczema,[ICD-11: EA80-EA89]
T47094,TACR1,INDICATI,Discontinued in Phase 2,Functional bladder disorder,[ICD-11: GC50]
T47094,TACR1,INDICATI,Phase 2,Hypertension,[ICD-11: BA00-BA04]
T47094,TACR1,INDICATI,Investigative,Influenza,[ICD-11: 1E30-1E32]
T47094,TACR1,INDICATI,Investigative,Intracranial injury,[ICD-11: NA07]
T47094,TACR1,INDICATI,Discontinued in Phase 2,Irritable bowel syndrome,[ICD-11: DD91]
T47094,TACR1,INDICATI,Phase 3,Menopausal disorder,[ICD-11: GA30]
T47094,TACR1,INDICATI,Phase 2,Migraine,[ICD-11: 8A80]
T47094,TACR1,INDICATI,Phase 2,Mood disorder,[ICD-11: 6A60-6E23]
T47094,TACR1,INDICATI,Approved,Nausea/vomiting,[ICD-11: MD90]
T47094,TACR1,INDICATI,Discontinued in Phase 1,Oesophagus motility disorder,[ICD-11: DA21]
T47094,TACR1,INDICATI,Phase 2,Pain,[ICD-11: MG30-MG3Z]
T47094,TACR1,INDICATI,Phase 3,Prurigo,[ICD-11: EC91]
T47094,TACR1,INDICATI,Phase 2,Psoriasis,[ICD-11: EA90]
T47094,TACR1,INDICATI,Phase 1,Schizophrenia,[ICD-11: 6A20]
T47094,TACR1,INDICATI,Patented,Skin tag/polyp,[ICD-11: EK71]
T47094,TACR1,INDICATI,Phase 3,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
T47094,TACR1,INDICATI,Phase 2,Substance abuse,[ICD-11: 6C40]
,#N/A,,,,
T47101,FGFR1,TARGETID,T47101,,
T47101,FGFR1,TARGNAME,Fibroblast growth factor receptor 1 (FGFR1),,
T47101,FGFR1,INDICATI,Phase 3,Acute diabete complication,[ICD-11: 5A2Y]
T47101,FGFR1,INDICATI,Phase 1,Acute myeloid leukaemia,[ICD-11: 2A60]
T47101,FGFR1,INDICATI,Phase 1/2,Alzheimer disease,[ICD-11: 8A20]
T47101,FGFR1,INDICATI,Phase 2,Bladder cancer,[ICD-11: 2C94]
T47101,FGFR1,INDICATI,Phase 1/2,Breast cancer,[ICD-11: 2C60-2C6Y]
T47101,FGFR1,INDICATI,Investigative,Chronic arterial occlusive disease,[ICD-11: BD4Z]
T47101,FGFR1,INDICATI,Approved,Colorectal cancer,[ICD-11: 2B91]
T47101,FGFR1,INDICATI,Phase 2,Coronary atherosclerosis,[ICD-11: BA80]
T47101,FGFR1,INDICATI,Phase 2,Endometrial cancer,[ICD-11: 2C76]
T47101,FGFR1,INDICATI,Phase 2,Epidermal dysplasias,[ICD-11: EK90]
T47101,FGFR1,INDICATI,Investigative,Gram-positive bacterial infection,[ICD-11: 1B74-1F40]
T47101,FGFR1,INDICATI,Approved,Idiopathic interstitial pneumonitis,[ICD-11: CB03]
T47101,FGFR1,INDICATI,Approved,Liver cancer,[ICD-11: 2C12]
T47101,FGFR1,INDICATI,Phase 3,Lung cancer,[ICD-11: 2C25]
T47101,FGFR1,INDICATI,Phase 2,Multiple myeloma,[ICD-11: 2A83]
T47101,FGFR1,INDICATI,Phase 2,Myelodysplastic syndrome,[ICD-11: 2A37]
T47101,FGFR1,INDICATI,Phase 2,Myeloproliferative neoplasm,[ICD-11: 2A20]
T47101,FGFR1,INDICATI,Phase 2,Non-alcoholic fatty liver disease,[ICD-11: DB92]
T47101,FGFR1,INDICATI,Phase 2,Oesophagitis,[ICD-11: DA24]
T47101,FGFR1,INDICATI,Phase 2,Ovarian cancer,[ICD-11: 2C73]
T47101,FGFR1,INDICATI,Phase 3,Peritoneal cancer,[ICD-11: 2C51]
T47101,FGFR1,INDICATI,Terminated,Retina cancer,[ICD-11: 2D02]
T47101,FGFR1,INDICATI,Phase 3,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
T47101,FGFR1,INDICATI,Phase 3,Stomach cancer,[ICD-11: 2B72]
T47101,FGFR1,INDICATI,Approved,Thrombocytopenia,[ICD-11: 3B64]
T47101,FGFR1,INDICATI,Phase 1,Type 2 diabetes mellitus,[ICD-11: 5A11]
,#N/A,,,,
T47107,PRKCG,TARGETID,T47107,,
T47107,PRKCG,TARGNAME,Protein kinase C gamma (PRKCG),,
T47107,PRKCG,INDICATI,Approved,Acute myeloid leukaemia,[ICD-11: 2A60]
T47107,PRKCG,INDICATI,Phase 2,Chronic myelomonocytic leukaemia,[ICD-11: 2A40]
T47107,PRKCG,INDICATI,Phase 1,Colorectal cancer,[ICD-11: 2B91]
T47107,PRKCG,INDICATI,Investigative,Human immunodeficiency virus disease,[ICD-11: 1C60-1C62]
T47107,PRKCG,INDICATI,Approved,Mastocytosis,[ICD-11: 2A21]
,#N/A,,,,
T47164,STK4,TARGETID,T47164,,
T47164,STK4,TARGNAME,MST-1 protein kinase (STK4),,
T47164,STK4,INDICATI,Investigative,Ischemic heart disease,[ICD-11: BA40-BA6Z]
,#N/A,,,,
T47165,#N/A,TARGETID,T47165,,
T47165,#N/A,TARGNAME,Neural cell adhesion molecule (NCAM),,
T47165,#N/A,INDICATI,Phase 1,Alzheimer disease,[ICD-11: 8A20]
T47165,#N/A,INDICATI,Phase 2,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T47215,#N/A,TARGETID,T47215,,
T47215,#N/A,TARGNAME,Cholecystokinin receptor (CCKR),,
T47215,#N/A,INDICATI,Terminated,Obesity,[ICD-11: 5B80-5B81]
,#N/A,,,,
T47366,ACVR2A,TARGETID,T47366,,
T47366,ACVR2A,TARGNAME,Activin receptor type IIA (ACVR2A),,
T47366,ACVR2A,INDICATI,Phase 2/3,Acute myeloid leukaemia,[ICD-11: 2A60]
T47366,ACVR2A,INDICATI,Phase 3,Idiopathic inflammatory myopathy,[ICD-11: 4A41]
T47366,ACVR2A,INDICATI,Phase 2,Muscle disorder,[ICD-11: FB32-FB3Z]
,#N/A,,,,
T47381,GSTP1,TARGETID,T47381,,
T47381,GSTP1,TARGNAME,GSTP1 messenger RNA (GSTP1 mRNA),,
T47381,GSTP1,INDICATI,Phase 1,Colorectal cancer,[ICD-11: 2B91]
T47381,GSTP1,INDICATI,Phase 1,Lung cancer,[ICD-11: 2C25]
T47381,GSTP1,INDICATI,Phase 1,Pancreatic cancer,[ICD-11: 2C10]
,#N/A,,,,
T47387,BCL2,TARGETID,T47387,,
T47387,BCL2,TARGNAME,BCL-2 messenger RNA (BCL2 mRNA),,
T47387,BCL2,INDICATI,Investigative,Acute myeloid leukaemia,[ICD-11: 2A60]
T47387,BCL2,INDICATI,Investigative,Colorectal cancer,[ICD-11: 2B91]
T47387,BCL2,INDICATI,Phase 2,Diffuse large B-cell lymphoma,[ICD-11: 2A81]
T47387,BCL2,INDICATI,Phase 1/2,Leukaemia,[ICD-11: 2A60-2B33]
T47387,BCL2,INDICATI,Investigative,Lung cancer,[ICD-11: 2C25]
T47387,BCL2,INDICATI,Investigative,Lymphoma,[ICD-11: 2A80-2A86]
T47387,BCL2,INDICATI,Phase 1,Malignant haematopoietic neoplasm,[ICD-11: 2B33]
T47387,BCL2,INDICATI,Investigative,Melanoma,[ICD-11: 2C30]
T47387,BCL2,INDICATI,Investigative,Multiple myeloma,[ICD-11: 2A83]
T47387,BCL2,INDICATI,Phase 2,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T47415,HLA-B,TARGETID,T47415,,
T47415,HLA-B,TARGNAME,HLA class I antigen B-7 (HLA-B),,
T47415,HLA-B,INDICATI,Phase 3,Melanoma,[ICD-11: 2C30]
,#N/A,,,,
T47466,HMBS,TARGETID,T47466,,
T47466,HMBS,TARGNAME,Porphobilinogen deaminase (HMBS),,
T47466,HMBS,INDICATI,Phase 2,Inborn porphyrin/heme metabolism error,[ICD-11: 5C58]
,#N/A,,,,
T47583,WRN,TARGETID,T47583,,
T47583,WRN,TARGNAME,Werner syndrome ATP-dependent helicase (WRN),,
T47583,WRN,INDICATI,Investigative,Mature T-cell lymphoma,[ICD-11: 2A90]
,#N/A,,,,
T47610,IL11RA,TARGETID,T47610,,
T47610,IL11RA,TARGNAME,Interleukin 11 receptor alpha (IL11RA),,
T47610,IL11RA,INDICATI,Phase 1,Prostate cancer,[ICD-11: 2C82]
T47610,IL11RA,INDICATI,Approved,Thrombocytopenia,[ICD-11: 3B64]
,#N/A,,,,
T47623,HPSE,TARGETID,T47623,,
T47623,HPSE,TARGNAME,Heparanase (HPSE),,
T47623,HPSE,INDICATI,Phase 1,African trypanosomiasis,[ICD-11: 1F51]
T47623,HPSE,INDICATI,Discontinued in Phase 3,Circulatory system disease,[ICD-11: BE2Z]
T47623,HPSE,INDICATI,Phase 1,Herpes simplex infection,[ICD-11: 1F00]
,#N/A,,,,
T47768,OPRM1,TARGETID,T47768,,
T47768,OPRM1,TARGNAME,Opioid receptor mu (MOP),,
T47768,OPRM1,INDICATI,Discontinued in Phase 1,Abnormal micturition,[ICD-11: MF50]
T47768,OPRM1,INDICATI,Approved,Acute pain,[ICD-11: MG31]
T47768,OPRM1,INDICATI,Terminated,Asthma,[ICD-11: CA23]
T47768,OPRM1,INDICATI,Phase 2,Binge eating disorder,[ICD-11: 6B82]
T47768,OPRM1,INDICATI,Approved,Bowel habit change,[ICD-11: ME05]
T47768,OPRM1,INDICATI,Phase 3,Breathing abnormality,[ICD-11: MD11]
T47768,OPRM1,INDICATI,Approved,Chronic pain,[ICD-11: MG30]
T47768,OPRM1,INDICATI,Approved,Corneal disease,[ICD-11: 9A76-9A78]
T47768,OPRM1,INDICATI,Phase 1,Coronary vasospastic disease,[ICD-11: BA85]
T47768,OPRM1,INDICATI,Approved,Cough,[ICD-11: MD12]
T47768,OPRM1,INDICATI,Approved,Depression,[ICD-11: 6A70-6A7Z]
T47768,OPRM1,INDICATI,Approved,Digestive system disease,[ICD-11: DE2Z]
T47768,OPRM1,INDICATI,Phase 3,General pain disorder,[ICD-11: 8E43]
T47768,OPRM1,INDICATI,Phase 1,Headache,[ICD-11: 8A80-8A84]
T47768,OPRM1,INDICATI,Approved,Irritable bowel syndrome,[ICD-11: DD91]
T47768,OPRM1,INDICATI,Approved,Large intestine motility disorder,[ICD-11: DB32]
T47768,OPRM1,INDICATI,Investigative,Lung cancer,[ICD-11: 2C25]
T47768,OPRM1,INDICATI,Phase 3,Mental/behavioural/neurodevelopmental disorder,[ICD-11: 6E20-6E8Z]
T47768,OPRM1,INDICATI,Phase 2,Migraine,[ICD-11: 8A80]
T47768,OPRM1,INDICATI,Investigative,Movement disorder,[ICD-11: 8A07-8A0Z]
T47768,OPRM1,INDICATI,Phase 3,Neuropathy,[ICD-11: 8C0Z]
T47768,OPRM1,INDICATI,Phase 1,Obesity,[ICD-11: 5B80-5B81]
T47768,OPRM1,INDICATI,Approved,Opioid use disorder,[ICD-11: 6C43]
T47768,OPRM1,INDICATI,Approved,Pain,[ICD-11: MG30-MG3Z]
T47768,OPRM1,INDICATI,Investigative,Postoperative inflammation,[ICD-11: 1A00-CA43]
T47768,OPRM1,INDICATI,Approved,Pruritus,[ICD-11: EC90]
T47768,OPRM1,INDICATI,Approved,Sensation disturbance,[ICD-11: MB40]
T47768,OPRM1,INDICATI,Phase 3,Spinal pain,[ICD-11: ME84]
T47768,OPRM1,INDICATI,Phase 2,Substance abuse,[ICD-11: 6C40]
T47768,OPRM1,INDICATI,Discontinued in Phase 1,Unspecific substance use disorder,[ICD-11: 6C4Z]
,#N/A,,,,
